Type,SpecifiedButton,Pressed,TimePressed
Absolute,TRIGGER_LEFT,PUSHED,10:33:00.790542
Absolute,TRIGGER_LEFT,NEUTRAL,10:33:09.690625
Absolute,TRIGGER_LEFT,PUSHED,10:33:09.946581
Absolute,TRIGGER_LEFT,NEUTRAL,10:33:16.306624
Absolute,TRIGGER_RIGHT,PUSHED,10:33:22.942655
Absolute,JOYSTICK_LEFT,UP,10:33:23.762636
Absolute,JOYSTICK_LEFT,NEUTRAL,10:33:23.858629
Absolute,JOYSTICK_RIGHT,RIGHT,10:33:24.650662
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:33:24.778488
Absolute,JOYSTICK_RIGHT,UP_RIGHT,10:33:25.730454
Absolute,JOYSTICK_RIGHT,UP,10:33:25.842608
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:33:25.886400
Absolute,JOYSTICK_RIGHT,RIGHT,10:33:26.690652
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:33:26.834588
Absolute,JOYSTICK_RIGHT,RIGHT,10:33:28.206622
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:33:28.374647
Absolute,JOYSTICK_RIGHT,RIGHT,10:33:29.558633
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:33:29.714662
Absolute,JOYSTICK_RIGHT,RIGHT,10:33:31.134662
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:33:31.270676
Absolute,TRIGGER_RIGHT,NEUTRAL,10:33:32.230641
Absolute,TRIGGER_LEFT,PUSHED,10:33:39.886623
Key,JOYSTICK_LEFT_CLICK,1,10:33:41.474665
Key,JOYSTICK_LEFT_CLICK,0,10:33:41.654678
Absolute,TRIGGER_LEFT,NEUTRAL,10:33:41.846622
Absolute,TRIGGER_LEFT,PUSHED,10:33:42.126620
Absolute,TRIGGER_LEFT,NEUTRAL,10:33:42.642679
Key,BTN_TL,1,10:33:42.815770
Key,BTN_TL,0,10:33:43.330676
Key,BTN_TL,1,10:33:44.310721
Key,BTN_TL,0,10:33:44.722521
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:33:45.382648
Absolute,JOYSTICK_LEFT,NEUTRAL,10:33:46.270623
Key,BTN_TL,1,10:33:46.698779
Key,BTN_TL,0,10:33:47.302620
Absolute,TRIGGER_LEFT,PUSHED,10:33:53.114661
Absolute,TRIGGER_RIGHT,PUSHED,10:33:53.134686
Absolute,TRIGGER_RIGHT,NEUTRAL,10:33:58.662686
Absolute,TRIGGER_LEFT,NEUTRAL,10:33:58.690678
Key,BTN_TL,1,10:34:00.814744
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:34:01.230644
Absolute,JOYSTICK_LEFT,DOWN,10:34:01.434579
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:02.146685
Absolute,JOYSTICK_LEFT,DOWN,10:34:02.438783
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:34:02.618463
Absolute,JOYSTICK_LEFT,LEFT,10:34:02.938752
Absolute,JOYSTICK_LEFT,UP_LEFT,10:34:03.230647
Absolute,JOYSTICK_LEFT,LEFT,10:34:03.734640
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:34:04.654701
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:05.042467
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:05.802652
Key,BTN_TL,0,10:34:05.838401
Key,BTN_TL,1,10:34:10.727783
Key,BTN_TR,1,10:34:10.782728
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:14.542586
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:14.742720
Absolute,JOYSTICK_LEFT,UP_LEFT,10:34:14.894610
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:15.090698
Absolute,JOYSTICK_LEFT,DOWN,10:34:15.294672
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:16.030692
Absolute,JOYSTICK_LEFT,UP,10:34:16.354716
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:16.426705
Absolute,JOYSTICK_LEFT,DOWN,10:34:16.538700
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:16.754722
Absolute,JOYSTICK_LEFT,UP,10:34:16.846705
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:16.966678
Absolute,JOYSTICK_LEFT,DOWN,10:34:17.038659
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:18.642719
Key,BTN_TR,0,10:34:19.186726
Key,BTN_TL,0,10:34:19.290683
Absolute,TRIGGER_RIGHT,PUSHED,10:34:21.390687
Absolute,TRIGGER_RIGHT,NEUTRAL,10:34:22.290510
Absolute,TRIGGER_RIGHT,PUSHED,10:34:26.658716
Absolute,TRIGGER_RIGHT,NEUTRAL,10:34:27.090714
Absolute,JOYSTICK_RIGHT,DOWN,10:34:31.150738
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:34:31.530720
Absolute,JOYSTICK_LEFT,UP_LEFT,10:34:31.874745
Absolute,JOYSTICK_LEFT,LEFT,10:34:32.038755
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:32.086762
Absolute,JOYSTICK_RIGHT,LEFT,10:34:32.210493
Absolute,JOYSTICK_RIGHT,UP_LEFT,10:34:32.294582
Absolute,JOYSTICK_RIGHT,UP,10:34:32.322539
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:34:32.490694
Absolute,JOYSTICK_RIGHT,LEFT,10:34:33.030584
Absolute,JOYSTICK_RIGHT,UP_LEFT,10:34:33.126701
Absolute,JOYSTICK_RIGHT,UP,10:34:33.146671
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:34:33.322711
Absolute,TRIGGER_LEFT,PUSHED,10:34:38.578735
Absolute,TRIGGER_RIGHT,PUSHED,10:34:38.682713
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:34:40.590725
Absolute,JOYSTICK_LEFT,RIGHT,10:34:40.831392
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:41.318727
Absolute,JOYSTICK_LEFT,DOWN,10:34:41.502772
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:34:41.710770
Absolute,JOYSTICK_LEFT,LEFT,10:34:41.810762
Absolute,JOYSTICK_LEFT,UP_LEFT,10:34:41.898755
Absolute,JOYSTICK_LEFT,UP,10:34:41.998611
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:34:42.238710
Absolute,JOYSTICK_LEFT,RIGHT,10:34:42.302718
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:42.606484
Absolute,JOYSTICK_LEFT,DOWN,10:34:42.734711
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:43.098740
Absolute,JOYSTICK_LEFT,RIGHT,10:34:43.186726
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:34:43.614766
Absolute,JOYSTICK_LEFT,UP,10:34:43.666799
Absolute,JOYSTICK_LEFT,UP_LEFT,10:34:43.870732
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:43.986726
Absolute,JOYSTICK_LEFT,RIGHT,10:34:44.062633
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:44.346758
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:44.422714
Absolute,TRIGGER_LEFT,NEUTRAL,10:34:44.514717
Absolute,TRIGGER_RIGHT,NEUTRAL,10:34:44.526728
Absolute,JOYSTICK_LEFT,UP,10:34:48.298614
Key,BTN_SOUTH,1,10:34:48.374554
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:48.426563
Key,BTN_SOUTH,0,10:34:48.470685
Absolute,JOYSTICK_LEFT,UP,10:34:51.298764
Key,BTN_WEST,1,10:34:51.438610
Key,BTN_WEST,0,10:34:51.622776
Absolute,JOYSTICK_LEFT,NEUTRAL,10:34:51.850756
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:34:53.574743
Absolute,JOYSTICK_LEFT,DOWN,10:34:53.666745
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:53.862717
Absolute,JOYSTICK_LEFT,DOWN,10:34:54.122737
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:54.394311
Absolute,JOYSTICK_LEFT,DOWN,10:34:54.674744
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:34:54.770778
Absolute,TRIGGER_LEFT,PUSHED,10:34:54.846504
Absolute,JOYSTICK_LEFT,LEFT,10:34:54.874769
Absolute,JOYSTICK_LEFT,UP_LEFT,10:34:55.058840
Absolute,JOYSTICK_LEFT,UP,10:34:55.138784
Absolute,JOYSTICK_LEFT,UP_LEFT,10:34:55.566760
Absolute,TRIGGER_LEFT,NEUTRAL,10:34:55.870766
Absolute,JOYSTICK_LEFT,LEFT,10:34:55.970782
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:34:56.234702
Absolute,JOYSTICK_LEFT,DOWN,10:34:57.058749
Key,BTN_NORTH,1,10:34:57.770757
Key,BTN_NORTH,0,10:34:57.918531
Absolute,TRIGGER_RIGHT,PUSHED,10:34:58.522772
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:34:58.570621
Absolute,TRIGGER_RIGHT,NEUTRAL,10:34:59.506538
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:34:59.942788
Absolute,JOYSTICK_LEFT,UP,10:34:59.998738
Absolute,TRIGGER_LEFT,PUSHED,10:35:00.010949
Absolute,TRIGGER_LEFT,NEUTRAL,10:35:00.762570
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:01.070748
Absolute,JOYSTICK_LEFT,RIGHT,10:35:01.330653
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:35:01.466591
Absolute,TRIGGER_LEFT,PUSHED,10:35:01.538584
Absolute,JOYSTICK_LEFT,DOWN,10:35:01.566535
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:35:01.722708
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:01.998621
Absolute,TRIGGER_LEFT,NEUTRAL,10:35:02.054750
Absolute,JOYSTICK_LEFT,DOWN,10:35:02.222742
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:02.978798
Key,BTN_EAST,1,10:35:03.104017
Key,BTN_EAST,0,10:35:03.282738
Absolute,JOYSTICK_LEFT,LEFT,10:35:04.482756
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:35:04.786786
Absolute,JOYSTICK_LEFT,DOWN,10:35:04.938822
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:35:05.890738
Absolute,JOYSTICK_LEFT,LEFT,10:35:06.542092
Absolute,JOYSTICK_LEFT,UP_LEFT,10:35:07.134758
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:07.458719
Absolute,JOYSTICK_LEFT,UP,10:35:10.414787
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:11.250767
Absolute,JOYSTICK_LEFT,RIGHT,10:35:11.318635
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:12.170804
Absolute,JOYSTICK_LEFT,UP,10:35:12.270760
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:14.178805
Absolute,JOYSTICK_LEFT,RIGHT,10:35:14.222851
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:35:14.450775
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:14.754777
Key,BTN_EAST,1,10:35:15.162808
Key,BTN_EAST,0,10:35:15.354593
Key,BTN_EAST,1,10:35:15.554769
Key,BTN_EAST,0,10:35:15.718795
Absolute,JOYSTICK_LEFT,UP,10:35:16.346644
Absolute,TRIGGER_RIGHT,PUSHED,10:35:16.390824
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:17.402744
Absolute,JOYSTICK_LEFT,UP_LEFT,10:35:17.726819
Absolute,JOYSTICK_LEFT,LEFT,10:35:17.986738
Absolute,TRIGGER_RIGHT,NEUTRAL,10:35:18.090816
Absolute,TRIGGER_LEFT,PUSHED,10:35:18.342797
Absolute,TRIGGER_LEFT,NEUTRAL,10:35:18.614657
Absolute,TRIGGER_RIGHT,PUSHED,10:35:19.086817
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:35:19.106782
Absolute,JOYSTICK_LEFT,DOWN,10:35:19.646823
Absolute,TRIGGER_RIGHT,NEUTRAL,10:35:21.162796
Absolute,JOYSTICK_RIGHT,LEFT,10:35:21.314693
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:21.378812
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:35:21.734816
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:35:21.750817
Absolute,TRIGGER_RIGHT,PUSHED,10:35:21.802808
Absolute,JOYSTICK_LEFT,DOWN,10:35:21.914623
Absolute,TRIGGER_RIGHT,NEUTRAL,10:35:22.814645
Absolute,JOYSTICK_RIGHT,DOWN,10:35:23.550772
Absolute,JOYSTICK_RIGHT,DOWN_RIGHT,10:35:23.594546
Absolute,JOYSTICK_RIGHT,RIGHT,10:35:23.642748
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:35:23.735022
Key,BTN_EAST,1,10:35:25.078825
Key,BTN_EAST,0,10:35:25.270863
Key,BTN_EAST,1,10:35:25.486821
Key,BTN_EAST,0,10:35:25.646825
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:26.550798
Key,BTN_SOUTH,1,10:35:30.594827
Key,BTN_SOUTH,0,10:35:30.738798
Key,BTN_SOUTH,1,10:35:31.590812
Absolute,JOYSTICK_LEFT,DOWN,10:35:31.638552
Key,BTN_SOUTH,0,10:35:31.718830
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:32.354776
Absolute,TRIGGER_RIGHT,PUSHED,10:35:32.726669
Absolute,TRIGGER_RIGHT,NEUTRAL,10:35:33.242858
Key,BTN_TL,1,10:35:33.650765
Key,BTN_EAST,1,10:35:33.658753
Absolute,JOYSTICK_LEFT,RIGHT,10:35:33.730637
Key,BTN_EAST,0,10:35:33.818668
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:33.866842
Absolute,JOYSTICK_LEFT,RIGHT,10:35:34.726790
Key,BTN_TL,0,10:35:34.894792
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:35.038579
Absolute,JOYSTICK_LEFT,LEFT,10:35:35.470815
Key,BTN_SOUTH,1,10:35:35.570843
Key,BTN_SOUTH,0,10:35:35.674775
Absolute,JOYSTICK_LEFT,UP_LEFT,10:35:35.946812
Absolute,JOYSTICK_LEFT,UP,10:35:36.082683
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:36.286805
Key,BTN_TL,1,10:35:36.602910
Key,BTN_EAST,1,10:35:36.854594
Key,BTN_EAST,0,10:35:37.062838
Absolute,JOYSTICK_LEFT,UP,10:35:38.218804
Absolute,JOYSTICK_LEFT,UP_LEFT,10:35:38.486815
Key,BTN_TL,0,10:35:38.558811
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:38.762636
Key,BTN_SOUTH,1,10:35:39.203329
Key,BTN_SOUTH,0,10:35:39.294779
Key,BTN_SOUTH,1,10:35:39.678805
Key,BTN_SOUTH,0,10:35:39.806676
Key,BTN_SOUTH,1,10:35:39.959919
Key,BTN_SOUTH,0,10:35:40.054726
Key,BTN_SOUTH,1,10:35:41.346768
Key,BTN_SOUTH,0,10:35:41.458826
Key,BTN_SOUTH,1,10:35:41.862842
Key,BTN_SOUTH,0,10:35:41.958750
Absolute,JOYSTICK_LEFT,UP,10:35:46.574868
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:47.018831
Absolute,JOYSTICK_LEFT,RIGHT,10:35:47.190857
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:47.582617
Absolute,TRIGGER_LEFT,PUSHED,10:35:47.666794
Absolute,JOYSTICK_LEFT,RIGHT,10:35:48.270804
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:48.550855
Absolute,TRIGGER_LEFT,NEUTRAL,10:35:48.726853
Absolute,JOYSTICK_LEFT,UP,10:35:49.062808
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:49.530803
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:35:49.666649
Absolute,JOYSTICK_LEFT,DOWN,10:35:50.078785
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:35:50.342776
Absolute,JOYSTICK_LEFT,DOWN,10:35:50.706805
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:35:50.934438
Absolute,JOYSTICK_LEFT,RIGHT,10:35:51.250885
Absolute,TRIGGER_LEFT,PUSHED,10:35:51.642872
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:51.650847
Absolute,JOYSTICK_LEFT,UP,10:35:51.794618
Absolute,JOYSTICK_LEFT,UP_LEFT,10:35:52.082885
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:52.170873
Absolute,TRIGGER_LEFT,NEUTRAL,10:35:52.414791
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:35:52.498874
Absolute,JOYSTICK_LEFT,RIGHT,10:35:52.638606
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:52.770715
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:52.886730
Absolute,JOYSTICK_LEFT,UP,10:35:53.042862
Absolute,TRIGGER_RIGHT,PUSHED,10:35:53.338825
Absolute,JOYSTICK_RIGHT,LEFT,10:35:54.022867
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:35:54.162637
Absolute,TRIGGER_LEFT,PUSHED,10:35:54.174837
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:35:54.482888
Absolute,JOYSTICK_LEFT,RIGHT,10:35:54.606858
Absolute,TRIGGER_LEFT,NEUTRAL,10:35:54.738659
Absolute,TRIGGER_RIGHT,NEUTRAL,10:35:55.106805
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:55.146887
Key,BTN_SOUTH,1,10:35:55.198861
Absolute,JOYSTICK_LEFT,DOWN,10:35:55.214839
Key,BTN_SOUTH,0,10:35:55.306787
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:35:55.778713
Absolute,JOYSTICK_RIGHT,DOWN,10:35:56.630872
Absolute,JOYSTICK_RIGHT,DOWN_RIGHT,10:35:56.662868
Absolute,JOYSTICK_RIGHT,RIGHT,10:35:56.702864
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:35:56.810869
Absolute,JOYSTICK_LEFT,DOWN,10:35:57.570862
Key,BTN_EAST,1,10:35:57.846797
Key,BTN_TR,1,10:35:57.858881
Key,BTN_EAST,0,10:35:58.058872
Key,BTN_TR,0,10:35:58.070728
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:35:58.534734
Absolute,JOYSTICK_LEFT,NEUTRAL,10:35:59.538753
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:08.530834
Absolute,JOYSTICK_LEFT,RIGHT,10:36:08.770099
Key,BTN_TL,1,10:36:08.886898
Key,BTN_TL,0,10:36:08.974879
Absolute,TRIGGER_RIGHT,PUSHED,10:36:09.210831
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:09.650904
Absolute,JOYSTICK_LEFT,DOWN,10:36:09.734882
Absolute,TRIGGER_LEFT,PUSHED,10:36:09.778900
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:10.206674
Absolute,JOYSTICK_LEFT,RIGHT,10:36:10.354851
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:36:10.494660
Absolute,TRIGGER_RIGHT,NEUTRAL,10:36:10.506878
Absolute,JOYSTICK_LEFT,RIGHT,10:36:10.774846
Absolute,TRIGGER_LEFT,NEUTRAL,10:36:10.806916
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:11.010833
Absolute,JOYSTICK_LEFT,RIGHT,10:36:11.063710
Absolute,TRIGGER_RIGHT,PUSHED,10:36:11.262888
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:36:11.314730
Absolute,JOYSTICK_LEFT,UP,10:36:11.842897
Absolute,TRIGGER_RIGHT,NEUTRAL,10:36:12.934891
Key,BTN_EAST,1,10:36:13.626835
Key,BTN_TL,1,10:36:13.630902
Key,BTN_TR,1,10:36:13.634733
Key,BTN_EAST,0,10:36:13.890881
Key,BTN_TR,0,10:36:14.502715
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:36:14.590894
Key,BTN_TL,0,10:36:14.698910
Absolute,JOYSTICK_LEFT,NEUTRAL,10:36:15.034862
Key,BTN_TL,1,10:36:15.594836
Key,BTN_SOUTH,1,10:36:15.602881
Key,BTN_TR,1,10:36:15.630714
Key,BTN_TL,0,10:36:15.726849
Key,BTN_SOUTH,0,10:36:15.742877
Key,BTN_TR,0,10:36:15.746689
Key,BTN_TL,1,10:36:15.800719
Key,BTN_TR,1,10:36:15.834690
Key,BTN_SOUTH,1,10:36:15.858839
Key,BTN_TL,0,10:36:15.906834
Key,BTN_SOUTH,0,10:36:15.946737
Key,BTN_TR,0,10:36:15.950871
Key,BTN_TL,1,10:36:15.999946
Key,BTN_SOUTH,1,10:36:16.058789
Key,BTN_TL,0,10:36:16.098985
Key,BTN_SOUTH,0,10:36:16.146790
Absolute,JOYSTICK_LEFT,RIGHT,10:36:19.782743
Absolute,TRIGGER_RIGHT,PUSHED,10:36:19.894868
Absolute,TRIGGER_RIGHT,NEUTRAL,10:36:22.882917
Absolute,TRIGGER_LEFT,PUSHED,10:36:23.198753
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:23.398871
Absolute,JOYSTICK_LEFT,DOWN,10:36:23.550903
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:23.750724
Absolute,TRIGGER_LEFT,NEUTRAL,10:36:23.990712
Absolute,JOYSTICK_LEFT,RIGHT,10:36:24.106899
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:24.274896
Absolute,TRIGGER_RIGHT,PUSHED,10:36:24.306906
Absolute,JOYSTICK_LEFT,DOWN,10:36:24.442901
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:25.162883
Absolute,JOYSTICK_LEFT,DOWN,10:36:25.606879
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:25.694910
Absolute,TRIGGER_LEFT,PUSHED,10:36:25.722915
Absolute,TRIGGER_RIGHT,NEUTRAL,10:36:25.742872
Absolute,JOYSTICK_LEFT,RIGHT,10:36:25.770909
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:36:25.906887
Absolute,JOYSTICK_LEFT,UP,10:36:25.974908
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:36:26.330925
Absolute,JOYSTICK_LEFT,RIGHT,10:36:26.378907
Absolute,TRIGGER_LEFT,NEUTRAL,10:36:26.414933
Absolute,TRIGGER_RIGHT,PUSHED,10:36:26.518921
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:36:26.558875
Absolute,JOYSTICK_LEFT,UP,10:36:27.394891
Absolute,TRIGGER_LEFT,PUSHED,10:36:27.510897
Absolute,TRIGGER_LEFT,NEUTRAL,10:36:28.314914
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:36:28.502941
Absolute,TRIGGER_LEFT,PUSHED,10:36:28.550894
Absolute,JOYSTICK_LEFT,RIGHT,10:36:28.614864
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:28.830860
Absolute,JOYSTICK_LEFT,DOWN,10:36:28.906877
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:36:28.974879
Absolute,JOYSTICK_LEFT,LEFT,10:36:29.046874
Absolute,TRIGGER_LEFT,NEUTRAL,10:36:29.330891
Absolute,TRIGGER_RIGHT,NEUTRAL,10:36:29.354900
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:29.374902
Absolute,JOYSTICK_LEFT,DOWN,10:36:29.774755
Key,BTN_EAST,1,10:36:30.258891
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:30.350914
Key,BTN_SOUTH,1,10:36:30.350914
Key,BTN_EAST,0,10:36:30.354915
Absolute,JOYSTICK_LEFT,RIGHT,10:36:30.426931
Key,BTN_SOUTH,0,10:36:30.510702
Absolute,JOYSTICK_LEFT,NEUTRAL,10:36:30.750630
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:33.410895
Key,BTN_WEST,1,10:36:33.938791
Absolute,JOYSTICK_LEFT,RIGHT,10:36:34.034881
Key,BTN_WEST,0,10:36:34.050841
Key,BTN_SOUTH,1,10:36:34.094893
Key,BTN_SOUTH,0,10:36:34.226791
Absolute,JOYSTICK_LEFT,NEUTRAL,10:36:34.486875
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:36:35.038881
Absolute,JOYSTICK_LEFT,LEFT,10:36:35.526810
Key,BTN_WEST,1,10:36:35.614926
Absolute,JOYSTICK_LEFT,UP_LEFT,10:36:35.702925
Key,BTN_SOUTH,1,10:36:35.718922
Key,BTN_WEST,0,10:36:35.746922
Key,BTN_SOUTH,0,10:36:35.898945
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:36:36.562923
Absolute,JOYSTICK_LEFT,LEFT,10:36:36.706906
Absolute,JOYSTICK_LEFT,NEUTRAL,10:36:37.218923
Key,BTN_EAST,1,10:36:37.475843
Key,BTN_SOUTH,1,10:36:37.566938
Key,BTN_EAST,0,10:36:37.579804
Key,BTN_SOUTH,0,10:36:37.726801
Absolute,JOYSTICK_LEFT,UP,10:36:40.858928
Key,BTN_NORTH,1,10:36:41.678907
Key,BTN_TR,1,10:36:41.694945
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:36:41.746907
Key,BTN_NORTH,0,10:36:41.798936
Key,BTN_TR,0,10:36:42.466784
Absolute,JOYSTICK_LEFT,UP,10:36:42.874862
Absolute,JOYSTICK_LEFT,NEUTRAL,10:36:43.330937
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:36:44.318913
Absolute,JOYSTICK_LEFT,DOWN,10:36:44.438935
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:36:45.338917
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:36:46.014909
Key,BTN_SOUTH,1,10:36:47.150841
Absolute,JOYSTICK_LEFT,DOWN,10:36:47.254927
Key,BTN_SOUTH,0,10:36:47.262949
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:36:47.326889
Absolute,JOYSTICK_LEFT,NEUTRAL,10:36:47.548089
Absolute,TRIGGER_RIGHT,PUSHED,10:36:49.798332
Absolute,TRIGGER_RIGHT,NEUTRAL,10:36:49.975000
Absolute,TRIGGER_LEFT,PUSHED,10:36:50.398960
Absolute,TRIGGER_LEFT,NEUTRAL,10:36:50.614928
Key,BTN_TL,1,10:36:50.922780
Key,BTN_TL,0,10:36:51.234906
Absolute,TRIGGER_LEFT,PUSHED,10:36:52.834923
Absolute,TRIGGER_LEFT,NEUTRAL,10:36:57.214929
Absolute,JOYSTICK_LEFT,UP_LEFT,10:36:58.286973
Key,BTN_TR,1,10:36:58.566902
Key,BTN_SOUTH,1,10:36:58.570799
Absolute,JOYSTICK_LEFT,NEUTRAL,10:36:58.674976
Key,BTN_SOUTH,0,10:36:58.674976
Key,BTN_TR,0,10:36:58.718930
Absolute,JOYSTICK_LEFT,RIGHT,10:37:01.902873
Key,BTN_SOUTH,1,10:37:02.006969
Key,BTN_SOUTH,0,10:37:02.106947
Key,BTN_SOUTH,1,10:37:02.178944
Key,BTN_SOUTH,0,10:37:02.246761
Absolute,JOYSTICK_LEFT,NEUTRAL,10:37:02.326807
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:37:05.938823
Key,BTN_NORTH,1,10:37:06.278925
Absolute,JOYSTICK_LEFT,UP,10:37:06.290880
Key,BTN_NORTH,0,10:37:06.386456
Key,BTN_NORTH,1,10:37:06.438808
Key,BTN_NORTH,0,10:37:06.514908
