Type,SpecifiedButton,Pressed,TimePressed
Key,BTN_EAST,1,
Key,BTN_EAST,0,0.08798885345458984
Key,BTN_SOUTH,1,
Key,BTN_SOUTH,0,0.0880270004272461
Key,BTN_SOUTH,1,
Key,BTN_SOUTH,0,0.13589692115783691
Key,BTN_SOUTH,0,0.5679168701171875
Key,BTN_SOUTH,0,0.8998880386352539
Key,BTN_SOUTH,1,
Key,BTN_SOUTH,0,0.08403897285461426
Key,BTN_SOUTH,1,
Key,BTN_SOUTH,0,0.8081300258636475
Key,BTN_NORTH,0,1648756666.86143
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.10394811630249023
Key,BTN_WEST,0,0.6239011287689209
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.06799006462097168
Key,BTN_WEST,0,0.7120990753173828
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.6359632015228271
Key,BTN_SOUTH,0,8.936051845550537
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.35604310035705566
Key,BTN_WEST,0,0.7840769290924072
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.11592507362365723
Key,BTN_WEST,1,
Absolute,DPAD_DOWN,1,
Absolute,DPAD_DOWN,1,
Absolute,DPAD_UP,-1,
Absolute,DPAD_UP,0,0.11197781562805176
Key,BTN_EAST,1,
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.09192109107971191
Absolute,DPAD_DOWN,1,
Absolute,DPAD_DOWN,0,0.11198806762695312
Absolute,DPAD_DOWN,1,
Absolute,DPAD_RIGHT,1,
Absolute,DPAD_RIGHT,0,0.10403895378112793
Absolute,DPAD_RIGHT,1,
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.059906959533691406
Absolute,DPAD_RIGHT,1,
Absolute,DPAD_RIGHT,1,
Absolute,DPAD_RIGHT,0,0.08797192573547363
Absolute,DPAD_DOWN,1,
Absolute,DPAD_DOWN,0,0.09601688385009766
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.08805203437805176
Key,BTN_WEST,0,0.732025146484375
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.09205913543701172
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.9121830463409424
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.5960850715637207
Key,BTN_WEST,1,
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.12403202056884766
Key,BTN_WEST,0,0.4679908752441406
Key,BTN_WEST,1,
Key,BTN_WEST,0,0.10797715187072754
Key,BTN_WEST,1,
